townhall,#3B45A0
substation,#3B45A0
restaurant,#3B45A0
care_home,#3B45A0
variety_store,#3B45A0
helipad,#3B45A0
electrician,#3B45A0
cattle_grid†,#3B45A0
recycling,#3B45A0
port_terminal,#3B45A0
pharmacy,#3B45A0
lighthouse,#3B45A0
resort,#3B45A0
workshop,#3B45A0
stadium,#3B45A0
power_pole,#3B45A0
bicycle_parking,#3B45A0
bbq,#3B45A0
drinking_water,#3B45A0
chalet,#3B45A0
level_crossing,#3B45A0
water_works,#3B45A0
doctors†,#3B45A0
painter,#3B45A0
physician,#3B45A0
residential_home,#3B45A0
ski,#3B45A0
border_control,#3B45A0
enclosure†- at a zoo,#3B45A0
newspaper,#3B45A0
swimming_area,#3B45A0
hospital†with†kind_detail†property.,#3B45A0
telephone,#3B45A0
travel_agency,#3B45A0
hardware,#3B45A0
wastewater_plant,#3B45A0
memorial,#3B45A0
clinic†,#3B45A0
cross,#3B45A0
butcher,#3B45A0
group_home,#3B45A0
harbourmaster,#3B45A0
windmill,#3B45A0
power_wind,#3B45A0
picnic_site,#3B45A0
firepit,#3B45A0
beach†,#3B45A0
bed_and_breakfast,#3B45A0
waterfall,#3B45A0
ice_cream,#3B45A0
fishing_area,#3B45A0
recreation_track,#3B45A0
greengrocery,#3B45A0
waterway_fuel,#3B45A0
sinkhole,#3B45A0
travel_agent,#3B45A0
landmark,#3B45A0
love_hotel,#3B45A0
plaque,#3B45A0
taxi,#3B45A0
outdoor,#3B45A0
photo,#3B45A0
soup_kitchen,#3B45A0
communications_tower,#3B45A0
guest_house,#3B45A0
toilets,#3B45A0
refugee_camp,#3B45A0
baby_hatch,#3B45A0
generator,#3B45A0
community_centre,#3B45A0
photographer,#3B45A0
bench,#3B45A0
prison,#3B45A0
sports_centre,#3B45A0
shoemaker,#3B45A0
furniture,#3B45A0
administrative,#3B45A0
government,#3B45A0
motorway_junction,#3B45A0
defibrillator,#3B45A0
elevator†,#3B45A0
cycle_barrier†,#3B45A0
beach_resort,#3B45A0
place_of_worship,#3B45A0
optician,#3B45A0
gift,#3B45A0
tram_stop,#3B45A0
sawmill,#3B45A0
works,#3B45A0
battlefield,#3B45A0
car_sharing,#3B45A0
assisted_living,#3B45A0
spring,#3B45A0
library,#3B45A0
food_bank,#3B45A0
container_terminal,#3B45A0
toll_booth,#3B45A0
jewelry,#3B45A0
pet,#3B45A0
veterinary,#3B45A0
religion,#3B45A0
photographic_laboratory,#3B45A0
hot_spring,#3B45A0
dispensary,#3B45A0
summer_camp,#3B45A0
fitness,#3B45A0
outreach,#3B45A0
boat_lift,#3B45A0
craft†,#3B45A0
tyres,#3B45A0
motorcycle_parking,#3B45A0
saddle,#3B45A0
ferry_terminal,#3B45A0
nightclub,#3B45A0
range,#3B45A0
consulting,#3B45A0
watering_place,#3B45A0
boat_rental,#3B45A0
museum,#3B45A0
day_care,#3B45A0
ford,#3B45A0
employment_agency,#3B45A0
funeral_directors,#3B45A0
lifeguard_tower,#3B45A0
fort,#3B45A0
subway_entrance,#3B45A0
winery,#3B45A0
monument,#3B45A0
wilderness_hut,#3B45A0
marketplace,#3B45A0
hvac,#3B45A0
cinema,#3B45A0
carpenter,#3B45A0
car_wash,#3B45A0
midwife,#3B45A0
cafe,#3B45A0
caravan_site,#3B45A0
obelisk,#3B45A0
arts_centre,#3B45A0
gambling,#3B45A0
chemist,#3B45A0
shelter,#3B45A0
emergency_phone,#3B45A0
peak,#3B45A0
pottery,#3B45A0
fire_hydrant,#3B45A0
traffic_signals,#3B45A0
petting_zoo,#3B45A0
boat_storage,#3B45A0
#have to keep last line or it bash script dicks up reading csv file
